,c,t,ne,Te
173,3858.0,67381,12225.278728567082,9982.832088713083
174,3860.0,67462,12163.114283717152,9360.757275824883
175,3862.0,67531,12516.252140480645,9003.212621228888
176,3866.0,67691,12969.917584793817,9999.999999999998
177,3868.0,67775,12813.071609145822,9999.999999999722
178,3870.0,67844,12171.103022782732,9999.9999991926
179,3872.0,67925,11792.780016576779,9999.99999345552
180,3874.0,67996,11869.114358760831,9999.999998301913
181,3876.0,68077,11959.055075532973,9999.999997457318
182,3878.0,68146,11702.291333524036,9733.576745462444
183,3880.0,68227,13256.173328078237,9999.999999999982
184,3882.0,68309,12431.245751606031,8698.940109300744
185,3886.0,68724,12261.211940468203,9965.706682226803
186,3888.0,68793,12235.532590333685,9999.999999419684
187,3890.0,68874,12732.007506689872,9999.99999999993
188,3892.0,68943,11388.423391626959,8846.555425848712
189,3894.0,69027,11570.813114500843,9349.039313186247
190,3896.0,69096,11593.235669834494,8160.451491263934
191,3898.0,69177,11969.70383968471,8451.078269317479
192,3900.0,69246,12747.866673933351,9999.999999971586
193,3902.0,69330,12441.217875671831,9999.999999999996
194,3906.0,69487,11473.180166786247,9932.559336016337
195,3908.0,69559,11405.8231865749,8992.966501896988
196,3910.0,69643,12357.6931036949,9999.999999999945
197,3912.0,69723,13200.02014819268,9999.999951543316
198,3914.0,69793,10913.881447925412,8121.063645431843
199,3916.0,69872,12169.032188456757,8727.815474761808
200,3918.0,69945,12562.471213625999,9999.999999999998
201,3920.0,70026,12093.320898313286,9987.112955174216
202,3922.0,70095,12323.186576060709,9999.999999999998
203,3926.0,70518,12795.852521473966,9999.999997322595
204,3928.0,70602,11353.988165403973,8964.814295801372
205,3930.0,70671,11595.113714279347,9954.08569834716
206,3932.0,70752,12663.672004908967,9999.999999260805
207,3934.0,70821,12285.668047662406,9999.99999999987
208,3936.0,70905,11985.147684882308,9999.999876624337
209,3938.0,70985,11825.713813393888,8233.580517147291
210,3940.0,71055,11804.703530003244,9999.999999832437
211,3942.0,71135,11551.80212944209,8960.375943305331
212,3946.0,71296,11696.256281557067,9999.939111739013
213,3948.0,71367,11622.192225920358,9989.040741703639
214,3950.0,71448,11713.395195405432,9805.373458491656
215,3952.0,71517,11411.437384346062,9508.769068744148
216,3954.0,71601,11650.709512054782,8396.595493199009
217,3956.0,71670,11953.366239352303,9999.99999999999
218,3958.0,71751,12082.216473235192,9999.999999995449
219,3960.0,71820,12486.05505378321,9999.999991404185
220,3962.0,71903,11281.97139555919,8649.615028880296
221,3966.0,72316,12187.898983394869,9999.999999999998
222,3968.0,72395,11371.321201622462,9379.836450072677
223,3970.0,72465,10675.599605219715,6285.057133894563
224,3972.0,72549,11790.982710341057,9405.402787657295
225,3974.0,72618,11222.781718396098,8974.1673285523
226,3976.0,72698,11515.422263679468,8094.516831441902
227,3978.0,72768,12351.711675475764,9999.999987702833
228,3980.0,72851,11055.263780665353,9265.636080859234
229,3982.0,72920,11486.00554856378,9996.370330914653
230,3986.0,73077,11470.303399705215,9999.999999157513
231,3988.0,73161,11392.101860928968,9859.537987348822
232,3990.0,73233,10694.07721864898,9006.171838511784
233,3992.0,73314,11113.475201493058,9734.236613080366
234,3994.0,73383,12708.04257374693,9999.999999999998
235,3998.0,73805,12092.462026284342,9999.999999999365
236,4000.0,73878,11640.589834976248,9999.999999999998
237,4002.0,73959,11221.30487702542,9999.999999731504
238,4004.0,74028,11145.990136887658,9999.999999274374
239,4006.0,74108,11823.898977632707,9999.999999999998
240,4008.0,74180,12286.679646110757,9999.999998967549
241,4010.0,74261,11744.040413288507,9999.99999476588
242,4012.0,74330,10354.708180063968,8170.011039916193
243,4014.0,74411,11996.280261725826,9999.999999999987
244,4018.0,74570,11632.893946176742,9999.999994010712
245,4020.0,74642,12060.371300029885,9999.999999998843
246,4022.0,74722,12217.002982568696,9999.999999998869
247,4024.0,74804,10982.458494813616,9839.44640878441
248,4026.0,74874,11067.225432202184,9999.563468432632
249,4028.0,74958,11634.03620131419,9382.763296045072
250,4030.0,75028,10976.259496236764,9592.708468398876
251,4032.0,75111,12475.691022511066,9999.999853925225
252,4034.0,75180,11907.475380168427,9999.99999999512
253,4038.0,75623,12374.448543988106,9999.999999999985
254,4040.0,75704,12043.921814201987,9999.999999999214
255,4042.0,75773,11875.890371755035,9728.338541335617
256,4044.0,75856,11741.575306904493,9653.429431106719
257,4046.0,75925,11092.755316856113,9464.235760544861
258,4048.0,76006,11275.888569340035,8202.589541720867
259,4050.0,76075,12463.00490600625,9999.999999999281
260,4052.0,76159,11394.676919151754,9993.370582522379
261,4054.0,76238,10940.27530986255,8737.556731184139
262,4058.0,76398,11952.79050509937,9999.999999999998
263,4060.0,76473,11442.752029842779,9781.07249553929
264,4062.0,76553,12396.20070150184,9999.999999999998
265,4064.0,76623,12269.415250524948,9999.999999999989
266,4066.0,76703,11039.82158113859,9533.824541683187
267,4068.0,76775,11386.56811546814,9999.999999296351
268,4070.0,76856,12719.364891194524,9999.999999999533
269,4072.0,76925,11561.552839915492,8687.177147925608
270,4074.0,77006,11835.497045040498,9999.999999999998
271,4078.0,77420,12173.320303871924,9999.999999980424
272,4080.0,77500,11379.745618358442,8564.217724055983
273,4082.0,77570,12333.34300425926,9999.999999613678
274,4084.0,77649,11413.028927487117,9334.35524299556
275,4086.0,77723,12138.378993794746,9999.999999999998
276,4088.0,77804,11486.679786175077,9974.455535401776
277,4090.0,77873,11008.857746456522,9019.561991249753
278,4092.0,77954,11246.058371358646,7548.258072005841
279,4094.0,78026,11527.158556871987,9999.999994166674
280,4098.0,78183,11350.63942411631,9754.184841291206
281,4100.0,78266,12430.782635619558,9999.999999916681
282,4102.0,78335,12398.175987731964,9999.999999741802
283,4104.0,78419,12144.074640689732,9999.999999998667
284,4106.0,78488,10639.3769048306,8096.9869594843985
285,4108.0,78569,11824.293804872668,9999.99997331587
286,4110.0,78638,12078.983971015201,9687.629192291024
287,4112.0,78722,11122.62581792541,8628.155662148713
288,4114.0,78801,11674.427735207291,8530.065173564468
289,4118.0,79213,11455.562344103002,9999.999999800733
290,4120.0,79282,12362.465566248617,9999.999999999229
291,4122.0,79367,12058.266357929835,9968.71015983884
292,4124.0,79436,10946.58002780295,8067.394025311574
293,4126.0,79516,12162.723842499405,8769.845082238258
294,4128.0,79585,11392.913973084063,8830.623013608234
295,4130.0,79669,12105.048649364597,9390.830268813195
296,4132.0,79738,12328.471513203509,9999.99999999999
297,4134.0,79819,12015.093372658484,9978.28603979716
298,4138.0,79975,11569.732671007045,9775.959640107869
299,4140.0,80060,12475.90818140895,9999.999999371958
300,4142.0,80130,11109.279217183957,9992.036295524007
301,4144.0,80209,12081.998630945722,8715.0911269344
302,4146.0,80283,11529.396924161054,9999.99999747893
303,4148.0,80366,12575.546167512925,9999.99999943943
304,4150.0,80435,12847.125370278169,9999.99994675425
305,4152.0,80516,12301.916666266397,9999.999988496233
306,4154.0,80588,12015.161746357031,8661.594649757028
307,4158.0,81011,10376.495187957858,8595.142285873806
308,4160.0,81092,13220.685455813655,9999.9999987528
309,4162.0,81161,11636.712817297197,9999.700379068114
310,4164.0,81242,12686.381780116168,9999.999999999998
311,4166.0,81324,11638.494235804092,8731.31882014827
312,4168.0,81394,13149.176459930308,9999.999999999998
313,4170.0,81474,8265.25571385458,3487.8781739477517
314,4172.0,81544,11518.668356478322,9997.334020234872
315,4174.0,81628,13048.170346354831,9999.999999998472
316,4178.0,81785,12639.97491239063,9999.999911356157
317,4180.0,81856,12189.96647010764,9999.999999999998
318,4182.0,81940,12488.104266781027,9846.074027720355
319,4184.0,82009,12234.905927212443,9999.999984888826
320,4186.0,82090,11663.880932345022,7730.411579280528
321,4188.0,82159,13200.49138775651,9999.999999999998
322,4190.0,82243,11485.343686217,8952.511999085533
323,4192.0,82312,12954.2741331414,9941.176018047961
324,4194.0,82393,11747.257734719433,8502.283351860284
325,4198.0,82804,11786.605588588629,8128.390535651135
326,4200.0,82888,12131.640770055885,8312.621602894938
327,4202.0,82957,13238.293320310231,9052.888906881937
328,4204.0,83038,14097.69458330078,9999.99999952073
329,4206.0,83107,11141.6057857502,9035.903214043969
330,4208.0,83190,13685.907028635605,9999.999999922093
331,4210.0,83259,10660.925569213447,8160.653830922272
332,4212.0,83340,12161.160753202343,8998.743632979274
333,4214.0,83409,10812.66472204484,5108.084197771365
334,4218.0,83568,12560.071689553259,9999.999999999998
335,4220.0,83651,13434.716199864744,8338.156245183796
336,4222.0,83720,12503.489019514682,9999.434598081194
337,4224.0,83801,11262.371586927711,8755.436045269917
338,4226.0,83883,12822.12174957277,8423.49617409304
339,4228.0,83953,11243.921813911726,9999.999999999587
340,4230.0,84032,12836.505095767632,9999.999999709173
341,4232.0,84101,13726.385997957514,9999.999999996851
342,4234.0,84188,13923.331058062147,9649.49827993141
343,4238.0,84598,13538.943821466848,9756.79037028907
344,4240.0,84667,10705.993660344993,7823.377858741154
345,4242.0,84748,12659.098756514179,9505.826653801074
346,4244.0,84819,12483.984558038479,9999.999999622465
347,4246.0,84904,14563.955146271497,9999.99999999998
348,4248.0,84973,12893.33091528867,9999.999961594644
349,4250.0,85054,14065.861641194957,7963.030564702538
350,4252.0,85137,12196.058325249698,6612.491659230592
351,4254.0,85207,11529.742446274235,9999.999998981079
352,4258.0,85363,11273.960846657817,9999.999997795361
353,4260.0,85445,12822.042998950203,9999.999999999995
354,4262.0,85518,11522.145913531616,9999.999967882277
355,4264.0,85599,13345.034129109677,8973.116316939597
356,4266.0,85668,13173.130647139873,9957.534374884268
357,4268.0,85749,14626.177202921039,7446.868083773083
358,4270.0,85821,14466.624320647494,9999.999999999998
359,4272.0,85902,9740.596530300796,8273.426073009152
360,4274.0,85971,12926.915854641436,9999.999999952925
361,4278.0,86394,11461.261362152643,9999.999990759728
362,4280.0,86478,12743.546220827577,9768.571916579796
363,4282.0,86557,13624.628353540667,9999.999999942822
364,4284.0,86627,12797.249847590514,6353.677915900432
365,4286.0,86707,13508.412903846624,9999.999990904209
366,4288.0,86780,10850.433184031797,9190.508521858732
367,4290.0,86861,13475.252508004178,8436.232322572563
368,4292.0,86930,12094.519896753003,9999.999999997768
369,4294.0,87011,12324.984501592104,9480.347347481162
370,4298.0,87171,14601.85702631065,9776.768592168126
